dim,g_bar,g_bar_L,g_bar_R,ridge_w
0,-0.0019066660332063116,-0.0008433545664131895,-0.0030819050228197615,0.0005103185571851336
1,-0.0017699093830238998,-0.0016674626416998152,-0.0018831399918557833,-0.000351892960394267
2,0.0007638019257859787,-0.0002571397319842188,0.0018922111264793552,0.001701854623007974
3,0.0008153094992545904,0.00013120738368176932,0.001571422363835077,-0.0015733225963405213
4,0.00022224249948290235,0.0005209760532051388,-0.00010793669147325377,0.0009164100717958118
5,-0.0021027411408694264,-0.0027990155507934384,-0.0013331746877955181,-0.002625073694789466
6,-0.0009240057363369402,-0.00027865808128716584,-0.001637284723497217,0.0002573647543965332
7,-0.0013088691166374727,-0.0007613590984321841,-0.0019140117683380548,0.002445586957258636
8,-0.0020924445868006998,-0.0017135814565253616,-0.0025111880465787046,-0.0012710589845202056
9,-0.001248873264323686,-0.0009453448539325331,-0.0015843520337033813,0.0006813311585235443
10,4.865825657155354e-06,-0.00027741469674701324,0.00031686008726176273,-0.0008050974136093082
11,0.0003886684613163437,-0.0003089248717282898,0.00115969267152357,-0.0005045081215464589
12,-0.0014130316188271572,-0.0006872500806391228,-0.002215211213666564,-0.00020235791175295107
13,0.0013176227089201698,0.0007551026884983369,0.0019393553630706164,0.003012328156337167
14,-0.0008884790059607498,-0.001124866583521914,-0.0006272085254984107,-0.00020405014711232308
15,-0.0004925928841707928,-0.0017888891356629942,0.0009401556043205874,-0.00045779311978754627
16,-0.0005776327843830736,-0.00044246429788481767,-0.0007270295326179881,-0.0002799914002004339
17,-0.0037694236664990006,-0.003518173604768541,-0.004047121103148457,0.0015819508902231237
18,-0.00029473034531182497,-0.00027880544022164887,-0.000312331556200967,-0.0010852612961825953
19,0.0005787086437036304,-0.0005375213675484177,0.0018124365508769467,0.00046983682145227323
20,-0.00031610831340375044,0.000253094430413521,-0.0009452271355175765,0.00025158108774062517
21,0.0013475874281797643,0.0008639356879241269,0.001882149877935995,-0.0015606218887454367
22,0.0010296984022449313,0.0011315344029599475,0.0009171428225072827,3.118769894342701e-05
23,0.0006293416046520476,-0.0005416095336956913,0.0019235507575627057,0.00047914607019011404
24,-0.00039669720739804703,0.0004260459651300878,-0.0013060449244028272,-0.0010825925438933042
25,-0.0003437019666513942,-0.0010642050004277738,0.0004526434917330253,-0.0006192722496168057
26,-0.0009195719753378731,-0.00023036498025973798,-0.0016813270751610755,0.0011582775620870734
27,-6.183996045020854e-05,-0.0006980537611769863,0.0006413437140372827,0.002516281510513388
28,-0.00039224470759646106,0.00021717988948978656,-0.0010658192622707346,-0.0008323417479208261
29,0.0006069511445106684,0.0002780237895601853,0.0009705024315612023,-0.0010407739892708714
30,0.00010092751679602792,7.524799832450449e-05,0.00012931014247507999,0.00032970925071913076
31,-6.053704695501893e-05,0.000511538365643403,-0.0006928309240374853,-0.00042939966408563583
32,0.0007817958671296052,0.0003285349129737551,0.0012827685006702814,0.002337601610771728
33,6.697416591468005e-05,0.0006707556268727991,-0.0006003632383021881,-0.0018657257873227057
34,0.0006515080686788257,0.0006787411048262298,0.0006214083971474843,-0.001298794723305909
35,-0.0012648703169814367,-0.00022202553212903714,-0.0024174882370814575,0.0004969109357153251
36,-1.0966326953177158e-05,-3.991308476756398e-05,2.1027457999566187e-05,-0.0003913312360324246
37,0.0013616291074154414,0.0016013763696297253,0.0010966452912838645,0.0010052261949350981
38,-0.0006595846482022783,-0.0011729192788006004,-9.221479333044837e-05,-0.0012245822906449312
39,0.0011682469672763369,0.001865549051308603,0.0003975446638722536,0.002057914240696923
40,0.00032880562702899973,-0.0002951932988180657,0.0010184886503336508,-0.00010019294196730145
41,0.0017023824213347066,0.0013849039083081802,0.00205327972520613,0.00034917367027520577
42,-0.0003369598916447494,3.0112140735191735e-05,-0.0007426710853278421,-0.00106400309467305
43,0.0003381484021800235,0.001795409374172869,-0.0012725084616015427,0.0021336798981851112
44,0.0010002778549204206,0.0007378433442819873,0.0012903370508892161,0.0006390701514826478
45,-0.0017536011226848727,-0.0014783971779727893,-0.0020577739036824385,0.00041457465424636094
46,0.003068052894745374,0.0026822163026204242,0.0034945038649887403,-0.0007362815825024993
47,0.00014223605337426894,-0.00017906836191183476,0.0004973619860589101,-0.0012295696577387723
48,-0.0004272053644522149,-0.001067052913476149,0.000279994558153186,-0.0021993751734937575
49,0.0028141963479309576,0.0026829917530585166,0.002959211952789969,0.0001842277409440972
50,-0.002530743838573048,-0.0030913826569071547,-0.00191109040778272,-0.0005490662735439405
51,0.002135253563135281,0.0024170810683631187,0.001823760004725566,0.0002874484920566477
52,0.00043813390540042,-0.0010446196832119162,0.0020769668191298447,-0.0023695877091766122
53,0.0007729061375366351,0.0003042421211423522,0.0012909032082882106,-0.0002635807727348367
54,-0.0005845917572513591,-0.0007393855213749656,-0.0004135039126936891,-0.0024630096878656186
55,-0.0021526510530445937,-0.0022939904514767255,-0.001996433823198552,-0.00043813475407747165
56,-0.001762976630754421,-0.002057366413122308,-0.001437598450242546,-0.000842677249058067
57,0.0011743306915671116,0.0009319926534691048,0.00144217799683333,0.0006764302204773784
58,0.0006259750233342405,0.00018911320686386155,0.0011088222941699228,-0.0007700756203089964
59,-0.000898404550553104,-0.0008939119450054672,-0.0009033700619478606,-0.0008109946328806113
60,-0.0016638493946908352,-0.0024433141395503516,-0.0008023357293197898,-0.0005129887483092111
61,-0.000831241572763356,-0.0010184698741245706,-0.0006243050291535916,-0.0016521724434092073
62,0.0002831259643516738,-4.5266041682077755e-05,0.0006460855499679254,-0.0010492229018680182
63,-0.0018493089360575403,-0.002362896698049683,-0.0012816593043820153,-0.0007103630213536593
